Accession	Female_Parent	Male_Parent	Cross_Type
1-52			
58308			
71173			
71693			
81983			
AHOADAI			
BRANCA DE SANTA CATARINA			
CM6119-5			
CM6921-3			
CM7462-10			
CM8213A-1			
CM8281B-20			
CM8699-6			
CM8710-1			
FBA-3			
FECULA			
GARI			
I8600006			
TMEB7			
TMEB9			
TMS13F1008P0006	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1008P0020	IITA-TMS-MM964500	IITA-TMS-IBA940006	biparental
TMS13F1059P0006	IITA-TMS-IBA980196	IITA-TMS-ZAR930151	biparental
TMS13F1079P0005	IITA-TMS-IBA020131	IITA-TMS-ZAR930151	biparental
TMS13F1084P0006	IITA-TMS-IBA020285	IITA-TMS-IBA930007	biparental
TMS13F1095P0009	IITA-TMS-IBA063046	IITA-TMS-IBA950279	biparental
TMS13F1101P0007	IITA-TMS-IBA070004	IITA-TMS-IBA930007	biparental
TMS13F1106P0006	IITA-TMS-IBA070004	IITA-TMS-IBA000350	biparental
TMS13F1107P0006	IITA-TMS-IBA070004	IITA-TMS-IBA010046	biparental
TMS13F1107P0008	IITA-TMS-IBA070004	IITA-TMS-IBA010046	biparental
TMS13F1107P0010	IITA-TMS-IBA070004	IITA-TMS-IBA010046	biparental
TMS13F1108P0007	IITA-TMS-IBA070004	IITA-TMS-IBA011412	biparental
TMS13F1124P0002			
TMS13F1153P0007	IITA-TMS-IBA993073	IITA-TMS-IBA940006	biparental
TMS13F1153P0011	IITA-TMS-IBA993073	IITA-TMS-IBA940006	biparental
TMS13F1154P0008	IITA-TMS-IBA993073	IITA-TMS-IBA970425	biparental
TMS13F1154P0010	IITA-TMS-IBA993073	IITA-TMS-IBA970425	biparental
TMS13F1160P0009	IITA-TMS-IBA993073	IITA-TMS-IBA051740	biparental
TMS13F1212P0002	IITA-TMS-IBA011412	IITA-TMS-IBA020129	biparental
TMS13F1212P0003	IITA-TMS-IBA011412	IITA-TMS-IBA020129	biparental
TMS13F1212P0032	IITA-TMS-IBA011412	IITA-TMS-IBA020129	biparental
TMS13F1212P0055	IITA-TMS-IBA011412	IITA-TMS-IBA020129	biparental
TMS13F1212P0079	IITA-TMS-IBA011412	IITA-TMS-IBA020129	biparental
TMS13F1214P0004	IITA-TMS-IBA011412	IITA-TMS-IBA020233	biparental
TMS13F1214P0029	IITA-TMS-IBA011412	IITA-TMS-IBA020233	biparental
TMS13F1216P0026	IITA-TMS-IBA011412	IITA-TMS-IBA020540	biparental
TMS13F1216P0028	IITA-TMS-IBA011412	IITA-TMS-IBA020540	biparental
TMS13F1307P0020	IITA-TMS-IBA030060	IITA-TMS-IBA010903	biparental
TMS13F1332P0042	IITA-TMS-IBA940237	IITA-TMS-IBA970290	biparental
TMS13F1333P0002	IITA-TMS-IBA940237	IITA-TMS-IBA010046	biparental
TMS13F1333P0003	IITA-TMS-IBA940237	IITA-TMS-IBA010046	biparental
TMS13F1336P0023	IITA-TMS-IBA950306	IITA-TMS-IBA970290	biparental
TMS13F1436P0012	IITA-TMS-IBA980002	IITA-TMS-IBA010046	biparental
1-52			
58308			
BRANCA DE SANTA CATARINA			
CM8710-1			
IITA-TMS-IBA000350			
IITA-TMS-IBA010046	IITA-TMS-IBA920326	CM8710-1	
IITA-TMS-IBA010903			
IITA-TMS-IBA011412	IITA-TMS-IBA950971	IITA-TMS-IBA940561	
IITA-TMS-IBA020129			
IITA-TMS-IBA020131			
IITA-TMS-IBA020233			
IITA-TMS-IBA020285			
IITA-TMS-IBA020540			
IITA-TMS-IBA030060			
IITA-TMS-IBA051740	IITA-TMS-IBA950967		
IITA-TMS-IBA063046			
IITA-TMS-IBA070004	IITA-TMS-IBA30555	IITA-TMS-IBA9102316	
IITA-TMS-IBA30555			
IITA-TMS-IBA30572	58308	BRANCA DE SANTA CATARINA	
IITA-TMS-IBA9001554	IITA-TMS-IBA30572	1-52	
IITA-TMS-IBA9100072			
IITA-TMS-IBA9101682			
IITA-TMS-IBA9102140			
IITA-TMS-IBA9102316			
IITA-TMS-IBA9102325			
IITA-TMS-IBA920326			
IITA-TMS-IBA930007			
IITA-TMS-IBA940006	IS9102322		
IITA-TMS-IBA940237			
IITA-TMS-IBA940325			
IITA-TMS-IBA940561			
IITA-TMS-IBA950279			
IITA-TMS-IBA950306			
IITA-TMS-IBA950967			
IITA-TMS-IBA950971			
IITA-TMS-IBA961089A	IITA-TMS-MOK940461	IITA-TMS-IBA9001554	
IITA-TMS-IBA961632	IITA-TMS-IBA940325	TMEB7	
IITA-TMS-IBA970290			
IITA-TMS-IBA970425			
IITA-TMS-IBA980002			
IITA-TMS-IBA980196			
IITA-TMS-IBA993073			
IITA-TMS-MM964500			
IITA-TMS-MOK940461			
IITA-TMS-ZAR930151			
IS9102322			
TMEB7			
1-52			
58308			
BRANCA DE SANTA CATARINA			
CM8710-1			
IITA-TMS-IBA30555			
IITA-TMS-IBA30572	58308	BRANCA DE SANTA CATARINA	
IITA-TMS-IBA9001554	IITA-TMS-IBA30572	1-52	
IITA-TMS-IBA9102316			
IITA-TMS-IBA920326			
IITA-TMS-IBA940325			
IITA-TMS-IBA940561			
IITA-TMS-IBA950967			
IITA-TMS-IBA950971			
IITA-TMS-MOK940461			
IS9102322			
TMEB7			
1-52			
58308			
BRANCA DE SANTA CATARINA			
IITA-TMS-IBA30572	58308	BRANCA DE SANTA CATARINA	
58308			
BRANCA DE SANTA CATARINA			
